DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,LOCATION,Cross Street,LAT,LON,Day of Week,Amount,Damage
2020-03-13,1900,1,Central,437,RESISTING ARREST,0,X,X,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500 S  HILL                         ST,NO CROSS STREET,34.0488,-118.2518,5,0.0,0
2020-11-17,1614,20,Olympic,310,BURGLARY,28,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",999.0,NO WEAPON,100 S  VIRGIL                       AV,NO CROSS STREET,34.0732,-118.2868,2,10000.0,1
2020-05-21,1335,15,N Hollywood,310,BURGLARY,0,M,X,123.0,PARKING UNDERGROUND/BUILDING,218.0,OTHER CUTTING INSTRUMENT,4900    LAUREL CANYON                BL,NO CROSS STREET,34.1594,-118.3965,4,10000.0,1
2023-04-25,1625,16,Foothill,310,BURGLARY,59,F,H,221.0,PUBLIC STORAGE,999.0,NO WEAPON,12300    FOOTHILL                     BL,NO CROSS STREET,34.2828,-118.4039,2,10000.0,1
2022-10-10,1100,9,Van Nuys,354,THEFT OF IDENTITY,30,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",999.0,NO WEAPON,15100    BURBANK                      BL,NO CROSS STREET,34.1766,-118.4589,1,0.0,0
2023-04-19,1652,14,Pacific,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",56,M,W,212.0,TRANSPORTATION FACILITY (AIRPORT),999.0,NO WEAPON,300    WORLD                        WY,NO CROSS STREET,33.9455,-118.4001,3,20000.0,1
2020-12-07,1200,20,Olympic,354,THEFT OF IDENTITY,41,F,H,501.0,SINGLE FAMILY DWELLING,999.0,NO WEAPON,1000 S  KINGSLEY                     DR,NO CROSS STREET,34.0509,-118.3031,1,0.0,0
2022-10-08,1330,8,West LA,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",42,F,W,221.0,PUBLIC STORAGE,999.0,NO WEAPON,2600    LA CIENEGA                   AV,NO CROSS STREET,34.0329,-118.3832,6,20000.0,1
2022-04-29,1710,3,Southwest,350,"THEFT, PERSON",30,F,H,950.0,MTA - EXPO LINE - LA CIENEGA/JEFFERSON,999.0,NO WEAPON,W  JEFFERSON                    BL,S  LA BREA                      AV,34.0255,-118.3556,5,0.0,0
2021-10-27,430,16,Foothill,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",70,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",999.0,NO WEAPON,11500    STRATHERN                    ST,NO CROSS STREET,34.2157,-118.3827,3,900.0,1
